DFILESIZE,load,file,filename,siteid,uploaddirectory,contenttype,containerid,overwrite,majorversion,damsasp:extDocSource,damsasp:extDocId,,damsasp:extDocVersion,apm:apmNumber,apm:apmYear,apm:beginningBatesNumber,apm:endingBatesNumber,apm:startImage,apm:endImage,,remiccd:subtype,remiccd:sponsor,remiccd:dealNumber,,oipmroot:issuerName,oipmroot:issuerNumber
179102,TRUE,dams_sample.pdf,2011-003_03_Sponsor Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010177,,,,,,,,,,,Test,12345,,,
114032,TRUE,dams_sample.pdf,2011-005_04_Guaranty Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010194,,,,,,,,,,,Test,12345,,,
110354,TRUE,dams_sample.pdf,2011-067_04_Guaranty Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010688,,,,,,,,,,,Test,12345,,,
201301,TRUE,dams_sample.pdf,2011-124_07_Misc.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011323,,,,,,,,,,,Test,12345,,,
12027597,TRUE,dams_sample.pdf,2011-124_02_Transaction Initiation Letter_V1.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011324,,,,,,,,,,,Test,12345,,,
184655,TRUE,dams_sample.pdf,2011-125_03_Sponsor Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011327,,,,,,,,,,,Test,12345,,,
121203,TRUE,dams_sample.pdf,2011-125_05_Legal Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011329,,,,,,,,,,,Test,12345,,,
122025,TRUE,dams_sample.pdf,2011-129_05_Legal Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011361,,,,,,,,,,,Test,12345,,,
115257,TRUE,dams_sample.pdf,2010-142_05_Legal Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD009681,,,,,,,,,,,Test,12345,,,
478881,TRUE,dams_sample.pdf,2010-145_01_Official Financial Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD009701,,,,,,,,,,,Test,12345,,,
482621,TRUE,dams_sample.pdf,2010-145_07_Misc.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD009707,,,,,,,,,,,Test,12345,,,
626973,TRUE,dams_sample.pdf,2010-128_01_Official Financial Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD009565,,,,,,,,,,,Test,12345,,,
13623251,TRUE,dams_sample.pdf,2010-129_02_Transaction Initiation Letter_V1.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD009580,,,,,,,,,,,Test,12345,,,
115054,TRUE,dams_sample.pdf,2010-130_05_Legal Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD009585,,,,,,,,,,,Test,12345,,,
