file,filename,siteid,uploaddirectory,contenttype,containerid,oipmroot:issuerNumber,oipmroot:issuerName,damsasp:extDocSource
OIP00073_4330_ARK-LA-TEX.pdf,OIP00073_4330_ARK-LA-TEX.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4330,ARK-LA-TEX,Other
OIP00074_4331_RP FUNDING.pdf,OIP00074_4331_RP FUNDING.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4331,RP FUNDING,Other
OIP00075_4332_B OF I FEDERAL.pdf,OIP00075_4332_B OF I FEDERAL.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4332,B OF I FEDERAL,Other
OIP00076_4334_FIRST CITIZENS.pdf,OIP00076_4334_FIRST CITIZENS.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4334,FIRST CITIZENS,Other
OIP00077_4017_COUNTRYWIDE.pdf,OIP00077_4017_COUNTRYWIDE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4017,COUNTRYWIDE,Other
OIP00078_4083_COMPU-LINK.pdf,OIP00078_4083_COMPU-LINK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4083,COMPU-LINK,Other
OIP00079_4086_SELENE.pdf,OIP00079_4086_SELENE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4086,SELENE,Other
OIP00080_4087_WISCONSIN HOUSING.pdf,OIP00080_4087_WISCONSIN HOUSING.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4087,WISCONSIN HOUSING,Other
OIP00081_4088_REUNION.pdf,OIP00081_4088_REUNION.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4088,REUNION,Other
OIP00082_4089_RESIDENTIAL BANCORP.pdf,OIP00082_4089_RESIDENTIAL BANCORP.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4089,RESIDENTIAL BANCORP,Other
OIP00083_4090_MARIX SERVICING.pdf,OIP00083_4090_MARIX SERVICING.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4090,MARIX SERVICING,Other
OIP00089_2952_COMMUNITY WEST MORTGAGE.pdf,OIP00089_2952_COMMUNITY WEST MORTGAGE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2952,COMMUNITY WEST MORTGAGE,Other
OIP00090_2953_AMERICAN BANTRUST MORTGAGE.pdf,OIP00090_2953_AMERICAN BANTRUST MORTGAGE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2953,AMERICAN BANTRUST MORTGAGE,Other
OIP00091_2975_MASS HOUSING FINANCE AGENCY.pdf,OIP00091_2975_MASS HOUSING FINANCE AGENCY.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2975,MASS HOUSING FINANCE AGENCY,Other
OIP00092_3024_EASTERN SAVINGS BANK.pdf,OIP00092_3024_EASTERN SAVINGS BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3024,EASTERN SAVINGS BANK,Other
OIP00093_3032_UNIVERSAL LENDING CORP.pdf,OIP00093_3032_UNIVERSAL LENDING CORP.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3032,UNIVERSAL LENDING CORP,Other
OIP00094_3032_UNIVERSAL LENDING CORP.pdf,OIP00094_3032_UNIVERSAL LENDING CORP.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3032,UNIVERSAL LENDING CORP,Other
OIP00095_3034_FIRST INDIANA SAVINGS.pdf,OIP00095_3034_FIRST INDIANA SAVINGS.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3034,FIRST INDIANA SAVINGS,Other
OIP00096_3048_D & N SAVINGS.pdf,OIP00096_3048_D & N SAVINGS.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3048,D & N SAVINGS,Other
OIP00097_3040_CREDIT UNION MORTGAGE.pdf,OIP00097_3040_CREDIT UNION MORTGAGE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3040,CREDIT UNION MORTGAGE,Other
OIP00098_3054_EASTERN MORTGAGE.pdf,OIP00098_3054_EASTERN MORTGAGE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3054,EASTERN MORTGAGE,Other
OIP00099_3057_HOME STREET BANK.pdf,OIP00099_3057_HOME STREET BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,3057,HOME STREET BANK,Other
OIP00100_4193_SWBC.pdf,OIP00100_4193_SWBC.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4193,SWBC,Other
OIP00101_4194_DUBUQUE.pdf,OIP00101_4194_DUBUQUE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4194,DUBUQUE,Other
OIP00102_4195_KANDAUR.pdf,OIP00102_4195_KANDAUR.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4195,KANDAUR,Other
OIP00103_4195_KONDAUR.pdf,OIP00103_4195_KONDAUR.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4195,KONDAUR,Other
OIP00104_4196_NEW AMERICAN.pdf,OIP00104_4196_NEW AMERICAN.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4196,NEW AMERICAN,Other
OIP00105_4197_J&M.pdf,OIP00105_4197_J&M.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4197,J&M,Other
OIP00106_4286_STIFEL BANK.pdf,OIP00106_4286_STIFEL BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4286,STIFEL BANK,Other
OIP00107_4287_NJ HOUSING.pdf,OIP00107_4287_NJ HOUSING.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4287,NJ HOUSING,Other
OIP00108_4288_HALLMARK.pdf,OIP00108_4288_HALLMARK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4288,HALLMARK,Other
OIP00109_4289_BARRINGTON.pdf,OIP00109_4289_BARRINGTON.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4289,BARRINGTON,Other
OIP00110_4290_FBC.pdf,OIP00110_4290_FBC.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4290,FBC,Other
OIP00111_4294_ATLANTIC BAY.pdf,OIP00111_4294_ATLANTIC BAY.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4294,ATLANTIC BAY,Other
OIP00112_4256_INTERLINC.pdf,OIP00112_4256_INTERLINC.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4256,INTERLINC,Other
OIP00113_4257_ACOPIA LLC.pdf,OIP00113_4257_ACOPIA LLC.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4257,ACOPIA LLC,Other
OIP00114_4257_ACOPIA LLC.pdf,OIP00114_4257_ACOPIA LLC.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4257,ACOPIA LLC,Other
OIP00115_4259_COMMUNITY TRUST.pdf,OIP00115_4259_COMMUNITY TRUST.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4259,COMMUNITY TRUST,Other
OIP00116_4260_LINDERLIVE.pdf,OIP00116_4260_LINDERLIVE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4260,LINDERLIVE,Other
OIP00117_4262_PLATINUM.pdf,OIP00117_4262_PLATINUM.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4262,PLATINUM,Other
