"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:category","oipmroot:date","oipmroot:department","oipmroot:library","oipmroot:issuerNumber","oipmroot:issuerName","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
26956,"GMD019005.pdf","GMD019005.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD019005","1"
52833,"GMD019105.pdf","GMD019105.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","NationsBanc Mortgage Cor","MISC","","","MLTF","","","","GMD019105","1"
63592,"GMD019169.pdf","GMD019169.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Lomas Mortgage USA","MISC","","","MLTF","","","","GMD019169","1"
38075,"GMD019186.pdf","GMD019186.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","LaSalle Talman Bank, FSB","MISC","","","MLTF","","","","GMD019186","1"
63828,"GMD019241.pdf","GMD019241.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Great Financial Mortgage","MISC","","","MLTF","","","","GMD019241","1"
68504,"GMD019210.pdf","GMD019210.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","ITT Residential Capital","MISC","","","MLTF","","","","GMD019210","1"
68700,"GMD019222.pdf","GMD019222.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Home Owners Funding Corp","MISC","","","MLTF","","","","GMD019222","1"
67897,"GMD019259.pdf","GMD019259.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Fleet Real Estate Fundin","MISC","","","MLTF","","","","GMD019259","1"
70208,"GMD019253.pdf","GMD019253.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GE Capital Mortgage Serv","MISC","","","MLTF","","","","GMD019253","1"
67023,"GMD019258.pdf","GMD019258.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GE Capital Asset Managem","MISC","","","MLTF","","","","GMD019258","1"
41184,"GMD019297.pdf","GMD019297.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","First Chicago National P","MISC","","","MLTF","","","","GMD019297","1"
